corruption_levels,geometric_margin
0,2.842897863
0,2.840798576
0,2.839162065
0,-2.826451459
0,2.842897863
0,2.841040191
0,2.839818066
0,-2.839038473
0,-2.848550094
0,2.839008881
0,2.848606495
0,2.826386008
0,2.826313819
0,2.830853392
0,2.810774012
0,-2.815147934
0,-2.846908743
0,2.845640104
0,2.839443786
0,2.839566382
0,-2.841297999
0,2.841475577
0,2.852208168
0,2.839443786
0,2.840467586
0,-2.847484228
0,-2.840130365
0,2.841310939
0,-2.898374653
0,2.839404955
0,-2.839363536
0,-2.842997453
0,-2.838593817
0,2.836109009
0,2.849782008
0,2.849782008
0,2.837773091
0,-2.83770687
0,2.840581488
0,2.845021963
0,2.845438131
0,2.834175175
0,2.848350351
0,2.842253253
0,2.840830788
0,-2.841962684
0,-2.843761354
0,2.849506692
0,-2.851637293
0,2.808785846
0,2.839862498
0,-2.838941235
0,2.846176109
0,-2.840638708
0,2.83899138
0,2.837278864
0,-2.84187144
0,2.841484565
0,2.841124985
0,2.841548221
0,2.867315858
0,-2.836848813
0,2.8492091
0,2.847770656
0,2.843432078
0,2.824720569
0,2.840334717
0,-2.878191342
0,2.841359954
0,2.890976005
0,2.849161757
0,2.842384641
0,-2.878191342
0,2.875075084
0,2.822287743
0,2.838000002
0,2.850944424
0,2.850265225
0,-2.842683341
0,-2.83877818
0,-2.840554122
0,-2.842683341
0,2.839057492
0,2.839057492
0,2.812216969
0,2.839648318
0,-2.847796004
0,2.843241846
0,2.839335369
0,2.839106395
0,2.840439935
0,-2.840928253
0,2.839335369
0,-2.839377184
0,-2.847756533
0,-2.838935469
0,-2.841502448
0,2.8421063
0,-2.838935469
0,2.855765446
0,2.842118342
0,2.842520915
0,2.840787129
0,2.841278455
0,2.850046107
0,2.841890416
0,-2.838342162
0,-2.843816779
0,2.842518761
0,2.841723478
0,2.842669783
0,2.838756356
0,2.842518761
0,-2.504731573
0,2.846055068
0,-2.504731573
0,2.851855648
0,2.843590818
0,2.833415604
0,-2.840957703
0,2.841943387
0,2.849083955
0,2.864515855
0,2.865247102
0,2.864515855
0,2.865247102
0,-2.842396842
0,2.85643037
0,2.855212686
0,-2.839423731
0,2.842968344
0,2.846422815
0,2.839911693
0,-2.83727472
0,2.812859444
0,-2.85002091
0,-2.85002091
0,-2.84375795
0,2.839050945
0,2.841711617
0,2.842383589
0,2.841991808
0,2.841991808
0,2.859294231
0,2.83900025
0,-2.839212419
0,2.853250353
0,2.842948772
0,2.846324106
0,2.84699415
0,2.850028888
0,-2.843634543
0,2.850032151
0,2.843527633
0,2.843527633
0,2.847125495
0,2.841456275
0,-2.784490367
0,-2.814829776
0,2.825891687
0,1.502734064
0,1.500136728
0,1.493341379
0,-1.441404752
0,1.502734064
0,1.493294403
0,-1.486778123
0,-1.521610205
0,1.489174368
0,1.490235768
0,1.489174368
0,1.459784657
0,1.492832301
0,1.489133927
0,-1.480317164
0,1.452787803
0,1.495653612
0,-1.520649208
0,1.504907246
0,1.48494805
0,1.489679741
0,1.493850749
0,1.48494805
0,1.493568717
0,1.493705266
0,1.507923793
0,-1.545848087
0,1.486212314
0,-1.502187776
0,-1.490516957
0,1.493915888
0,1.493915888
0,1.491927789
0,1.530145075
0,1.339742426
0,1.51903444
0,1.477223066
0,1.517666202
0,1.494560053
0,1.520443177
0,-1.5065429
0,1.512890969
0,-1.499905873
0,1.501108837
0,1.426165184
0,1.436358451
0,1.495505622
0,-1.492129141
0,1.501411114
0,1.523472941
0,-1.49427534
0,1.48678223
0,1.478632381
0,1.478632381
0,1.4955458
0,1.489651903
0,1.527498287
0,-1.500585774
0,-1.498773126
0,1.498470821
0,1.497555768
0,1.558850235
0,1.503171566
0,1.503171566
0,-1.478102864
0,1.485185415
0,1.518499381
0,1.541301824
0,1.509827316
0,1.474964453
0,-1.5028556
0,1.487632156
0,1.495723135
0,1.590042182
0,1.523222154
0,-1.591376767
0,1.587703707
0,1.495723135
0,1.584235666
0,-1.028897314
0,-1.495513126
0,-1.494184879
0,-1.495513126
0,1.493092053
0,1.499539396
0,1.493092053
0,1.493595266
0,1.49379567
0,-1.524928149
0,1.486249631
0,1.489467024
0,1.506774027
0,-1.495096273
0,-1.492662439
0,1.494255626
0,-1.495745298
0,1.500636444
0,1.497417445
0,1.510451982
0,-1.505629685
0,1.493090207
0,1.508383282
0,1.493389413
0,1.493389413
0,-1.480148293
0,-1.508127632
0,1.492555487
0,1.495345629
0,1.499458081
0,1.49283284
0,-0.952440588
0,-0.952440588
0,1.512298003
0,1.583564455
0,1.487587023
0,-1.482922631
0,-1.500336941
0,-1.49347574
0,1.49245868
0,1.508271064
0,1.508271064
0,1.556001447
0,1.554945802
0,1.556001447
0,1.554945802
0,1.500777852
0,-1.492813407
0,1.55402244
0,1.527807791
0,1.493595498
0,1.501750045
0,1.509408728
0,1.504489739
0,1.491263874
0,-1.478242152
0,1.639164685
0,-1.519978355
0,1.49665568
0,1.489932249
0,1.49665568
0,-1.490604999
0,1.507788125
0,1.493709236
0,1.493709236
0,1.553924003
0,1.489619493
0,1.488172835
0,-1.48826215
0,1.535516956
0,1.504154452
0,1.503271321
0,1.514372044
0,1.52139066
0,-1.494179034
0,1.500561429
0,1.501952848
0,1.501952848
0,1.49268732
0,-1.608196204
0,1.470536065
0,35.25717301
0,-35.23403977
0,35.26309089
0,-35.27898253
0,-35.27332541
0,35.32058519
0,35.27082118
0,35.2765474
0,35.26496088
0,35.26230765
0,-35.26911528
0,35.24572276
0,35.25736358
0,-35.23228752
0,-35.26522866
0,35.26265258
0,35.25231568
0,-35.25614161
0,35.26873725
0,35.28422115
0,-35.27413378
0,35.25474803
0,-35.25488846
0,35.25915582
0,-35.25659866
0,-35.25099888
0,35.29989684
0,35.28390669
0,35.28390669
0,35.24828754
0,-35.2539666
0,35.25480843
0,35.25576429
0,35.24826265
0,35.27921865
0,35.25600191
0,35.31694297
0,-35.27295658
0,-35.27564201
0,35.27507872
0,-35.26374239
0,35.2584913
0,35.26145408
0,35.26110466
0,35.25676727
0,-35.25702738
0,35.25026681
0,35.26184453
0,35.2597666
0,35.26250669
0,35.27848116
0,35.27494327
0,-35.26614108
0,35.25693227
0,35.25676196
0,35.25802235
0,35.27896936
0,35.25425642
0,35.25425642
0,35.25625812
0,35.26282381
0,35.28043888
0,35.22982344
0,35.25907504
0,35.24835357
0,-35.25682957
0,-35.26895055
0,35.25959445
0,35.30085465
0,35.27503777
0,35.27020895
0,-35.26895055
0,35.26418667
0,35.25959445
0,35.57049833
0,-35.08841432
0,35.26616446
0,35.28052484
0,35.2785045
0,-35.26241105
0,-35.25518199
0,-35.26241105
0,35.25343946
0,35.26419068
0,35.25343946
0,35.22270362
0,35.25689012
0,-35.26852123
0,35.25453645
0,35.25551197
0,-35.24493318
0,35.25453645
0,-35.24815559
0,-35.25310009
0,-35.27018989
0,-35.25626167
0,-35.25586848
0,-35.25626167
0,35.28229915
0,35.25636521
0,35.25024163
0,35.29035725
0,35.29146657
0,-35.26891334
